titolo,descrizione,path_immagine,link_articolo,data
Giorgio Napolitano viene eletto presidente della Repubblica Italiana,Il 10 maggio 2006 è stato eletto Presidente della Repubblica con 543 voti. Ha prestato giuramento il 15 maggio 2006. E'  il primo Presidente già esponente del Partito Comunista Italiano.,"https://it.wikipedia.org/wiki/Giorgio_Napolitano#:~:text=Giorgio%20Napolitano%20(Napoli%2C%2029%20giugno,eletto%20per%20un%20secondo%20mandato.",https://massimedalpassato.it/wp-content/uploads/2021/05/elezione-giorgio-napolitano-1-900x.jpg,2006/05/10
Referendum abrogativo sulla legge del divorzio,"Il referendum abrogativo in Italia del 1974 si tenne il 12 e 13 maggio ed ebbe come oggetto la disciplina normativa con cui era stato introdotto l'istituto del divorzio, previsto «legge 1º dicembre 1970, n. 898», nota anche come «legge Fortuna-Baslini». Vittoria dei No con il 59%.",https://www.cultura.trentino.it/var/001/storage/images/media/images/referndum-dvorzio-640x435-1/22380676-1-ita-IT/REFERNDUM-DVORZIO-640x435-1_imagefullwide.jpg,"https://it.wikipedia.org/wiki/Referendum_abrogativo_in_Italia_del_1974#:~:text=Il%20referendum%20abrogativo%20in%20Italia,del%20progetto%20in%20sede%20parlamentare).",1974/05/12
Carlo Azeglio Ciampi diventa il decimo presidente della Repubblica Italiana,"Il 13 maggio 1999 venne eletto alla prima votazione, con una larga maggioranza (707 voti su 1 010), decimo presidente della Repubblica. In questa veste, egli cercò di trasmettere agli italiani quel patriottico sentimento nazionale che deriva dalle imprese del Risorgimento e della Resistenza e che si manifesta nell'Inno di Mameli e nella bandiera tricolore.",https://upload.wikimedia.org/wikipedia/commons/c/c4/Ciampi_ritratto.jpg,"https://it.wikipedia.org/wiki/Carlo_Azeglio_Ciampi#:~:text=Il%2013%20maggio%201999%20venne,)%2C%20decimo%20presidente%20della%20Repubblica.",1999/05/13
 A Milano viene arrestato Luciano Liggio,"In realtà il vero cognome era “Leggio” ma, per un errore di trascrizione, per tutti fu Liggio. Nel 1944, a 19 anni, aveva già collezionato una denuncia per porto abusivo d'armi, un arresto e una condanna per furto. Tra i delitti di stampo mafioso a lui addebitati, quello del Procuratore Capo Pietro Scaglione.",https://images.app.goo.gl/g2JgYKth3wRbE8KU6,"https://www.lamiacittanews.it/accadde-oggi-16-maggio-1974-a-milano-viene-arrestato-il-boss-mafioso-luciano-liggio/#:~:text=ACCADDE%20OGGI%20%E2%80%93%2016%20MAGGIO%201974,IL%20BOSS%20MAFIOSO%20LUCIANO%20LIGGIO&text=In%20realt%C3%A0%20il%20vero%20cognome,e%20una%20condanna%20per%20furto.",1974/05/16
"Roma, Italia: viene inaugurato lo Stadio Olimpico con la partita di calcio Italia-Ungheria","La struttura fu inaugurata il 17 maggio 1953, con l'arrivo della tappa Napoli-Roma del 36º Giro d'Italia e con la partita di calcio Italia-Ungheria, che terminò 3-0 per i magiari: il primo gol segnato nello stadio fu di Nándor Hidegkuti.",https://images.app.goo.gl/ap2HZVgazsVdTh7z6,https://it.wikipedia.org/wiki/Stadio_Olimpico_(Roma),1953/05/16
Viene varato il governo Prodi II,"Fu il primo governo repubblicano a vedere la partecipazione diretta di Rifondazione Comunista e dei Radicali Italiani, divenendo così l'unico governo della cosiddetta Seconda Repubblica sostenuto dall'intera sinistra parlamentare",https://images.app.goo.gl/T112d1M55v63owUu5,https://it.wikipedia.org/wiki/Governo_Prodi_II,2006/05/16
All'alba viene arrestato il boss mafioso Nitto Santapaola,"All'alba del 18 maggio 1993 venne arrestato in un casolare nelle campagne di Mazzarrone (CT), dopo undici anni di latitanza, nell'ambito dell'operazione Luna Piena (perché il capomafia, nelle intercettazioni dei suoi fedelissimi, era stato ribattezzato “u' licantropo”)",https://images.app.goo.gl/4Chu7ZQwonRwHjZb8,"https://it.wikipedia.org/wiki/Benedetto_Santapaola#:~:text=All'alba%20del%2018%20maggio,condotta%20dai%20dirgenti%20del%20Servizio",1993/05/18
Statuto dei lavoratori (legge 300/70),"LEGGE 20 maggio 1970, n. 300 (Statuto dei lavoratori) Norme sulla tutela della libertà e dignità del lavoratori, della libertà sindacale e dell'attività sindacale nel luoghi di lavoro e norme sul collocamento.",https://images.app.goo.gl/HJ2HkUxiWkAXBBhu9,"http://www.privacy.it/archivio/legge1970300.html#:~:text=LEGGE%2020%20maggio%201970%2C%20n,300%20(Statuto%20dei%20lavoratori)&text=Norme%20sulla%20tutela%20della%20libert%C3%A0,lavoro%20e%20norme%20sul%20collocamento.",1970/05/20
 Entra in vigore la legge sull'interruzione volontaria della gravidanza (legge n. 194/78),"La tutela della maternità e il diritto all'aborto sono sancite dalla storica legge 194 del 22 maggio 1978, che garantisce la tutela della salute psicofisica della donna e la possibilità di accedere all'interruzione volontaria di gravidanza.  La donna può decidere di abortire entro i primi 90 giorni di gravidanza.",https://images.app.goo.gl/VCo7CpVF5bjxPZKY7,https://www.gravidanzaonline.it/contraccezione/ivg.htm,1978/05/23
 Carlo Azeglio Ciampi inizia il suo mandato di presidente della Repubblica  ,"Carlo Azeglio Ciampi (Livorno, 9 dicembre 1920 – Roma, 16 settembre 2016) è stato un economista, banchiere e politico italiano, 10º presidente della Repubblica Italiana dal 18 maggio 1999 al 15 maggio 2006.",https://images.app.goo.gl/ZxNF1ATHe9m5zZMb7,"https://it.wikipedia.org/wiki/Carlo_Azeglio_Ciampi#:~:text=Carlo%20Azeglio%20Ciampi%20(Livorno%2C%209,1999%20al%2015%20maggio%202006.",1999/05/23
 il Regno d'Italia dichiara guerra all'Austria,"Il 23 maggio 1915, il Regno d'Italia, sotto il governo del primo ministro Antonio Salandra, dichiara guerra all'Impero Austro-Ungarico, entrando così nella prima guerra mondiale a fianco dell'Intesa Cordiale composta da Repubblica Francese, Impero Britannico e Impero Russo.",https://images.app.goo.gl/mJLDrLcooPQsLbVYA,"https://www.paesesera.toscana.it/italia-dichiara-guerra-allaustria-entra-nella-prima-guerra-mondiale/#:~:text=Il%2023%20maggio%201915%2C%20il,Impero%20Britannico%20e%20Impero%20Russo.",1915/05/23
La strage di Capaci,"La strage di Capaci fu un attentato di stampo terroristico - mafioso compiuto da Cosa Nostra il 23 maggio 1992 nei pressi di Capaci (sul territorio di Isola delle Femmine). Una  carica, composta da tritolo, RDX e nitrato d'ammonio con potenza pari a 500 kg di tritolo, fu posta su un tratto dell'autostrada e la sua esplosione telecomandata causò la morte del Giudice Giovanni Falcone, della Moglie Francesca Morvillo e degli agenti della scorta, Antonio Montinaro, Vito Schifani, Rocco  Dicillo. L'unico superstite fu l'autista Giuseppe Costanza.",https://images.app.goo.gl/sbi7v7tHopYDC4Rb9,https://it.wikipedia.org/wiki/Strage_di_Capaci,1992/05/23
" Entrata  in guerra dell'Italia a fianco di Francia, Gran Bretagna e Impero russo.
","È un giorno che è rimasto nella memoria storica del paese, Dopo durissimi anni di guerra di trincea  edi  logoramento, dopo la disfatta di Caporetto, nel novembre del 1918 giunse la vittoria e la fine del conflitto. Il prezzo fu però molto alto: 1.240.000 milioni di morti accertati, tra miltari e civili. ",https://images.app.goo.gl/hpgdGYrNGmGPvADr6,https://www.rainews.it/dl/rainews/articoli/24-maggio-1915-Italia-entra-in-Guerra-a-fianco-dell-Intesa-5fe0c952-28eb-4920-9b65-f98e72b55ae9.html,1915/05/24
Italia: si svolgono le elezioni politiche,"Le elezioni politiche italiane del 1958 per il rinnovo dei due rami del Parlamento Italiano – la Camera dei deputati e il Senato della Repubblica – si tennero domenica 25 e lunedì 26 maggio 1958. Il Senato, che ancora aveva una legislatura della durata di sei anni, fu sciolto anticipatamente.",https://images.app.goo.gl/SmJpzv8WyipdQvq48,https://it.wikipedia.org/wiki/Elezioni_politiche_italiane_del_1958,1958/05/25
Celebrazione nella Cattedrale di Palermo dei funerali delle vittime della strage di Capaci ,"Ai  funerali delle vittime, oltre ai familiari, a colleghi e amici dei giudici, come Giuseppe Ayala e Tano Grasso,e degli agenti di scorta, partecipò l'intera città di Palermo. Intanto a Roma veniva eletto Presidente della Repubblica Oscar Luigi Scalfaro",https://images.app.goo.gl/aFemoVQgMAPfrr6a9,"http://files24.rainews.it/strage-di-capaci/funerali-di-giovanni-falcone/#:~:text=Sono%20passati%20due%20giorni%20dalla,Giuseppe%20Ayala%20e%20Tano%20Grasso.",1992/05/26
Strage di Piazza Della Loggia(Brescia),"La strage di piazza della Loggia fu  un attentato terroristico di matrice neofascista compiuto il 28 maggio 1974 a Brescia, nella centrale piazza della Loggia. Una bomba nascosta in un cestino portarifiuti fu fatta esplodere mentre era in corso una manifestazione contro il terrorismo neofascista. L'attentato provocò la morte di 8 persone e il ferimento di altre 102. Dopo anni di indagini, processi, insabbiamenti e depistaggi, furono riconosciuti colpevoli esponenenti del gruppo neofascista Ordine Nuovo",https://images.app.goo.gl/ssuhvzQ68gWDknfu7,https://it.wikipedia.org/wiki/Strage_di_piazza_della_Loggia,1974/05/28
Entrata in vigore della legge sull'aborto,"Viene approvata dal parlamento dopo vari anni di mobilitazione per la decriminalizzazione e regolamentazione dell'interruzione volontaria di gravidanza da parte del Partito Radicale e del Centro d'informazione sulla sterilizzazione e sull'aborto (CISA),",https://www.repstatic.it/content/nazionale/img/2020/06/16/221421515-14fa7ebc-151d-4a1d-8de9-f83490e516d1.jpg,https://it.wikipedia.org/wiki/Legislazioni_sull%27aborto#L%27IVG_nella_legislazione_italiana,1978/05/22
